"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"Fraud","E-127000075","FraudType 9 is not valid for issuers","1. User tries to submit a Fraud Report request by specifying Fraud Type as 9 and Member Role as Issuer.

2. User tries to retieve a Fraud Details request for FraudType 9 and MemberRole Issuer"
"Fraud","E-127000079","Fraud Report cannot be submitted into a case where a TI Response returned multiple transactions and no transaction has been selected.","Member submitted a Fraud Report in a case where a Request for Information returned multiple transactions, and no transaction has been selected.  Member should select a transaction via the ROL UI and resubmit the Fraud Report."
"Fraud","E-127000080"," User does not have access to the requested Fraud report","User attempts to retrieve a Fraud report with a invalid member role"
"Fraud","E-127000081","Fraud Report cannot be submitted since TI Response contains no data.","Member submitted a Fraud Report in a case where a Request for Information returned no transactions.  
"
"Case Folder","E-127000083","Unable to find a Reporting Inst ID (RIID) for the <initiating/opposing> member.  Please contact <regional contact info> if you believe you have received this message in error.","VROL was unable to find a Reporting Inst ID (RIID) for the initiating or opposing member.  Please contact <regional contact info> if you believe you have received this message in error."
"Fraud","E-127000086","Member submitted a Fraud Report in a case where another user is in the process of creating a Fraud Report.  Please resubmit if necessary.","Member submitted a Fraud Report in a case where another user is in the process of creating a Fraud Report."
"Fraud","E-127000089","Member submitted a Fraud Report for a non-financial transaction other than an authorization or pre-authorization.","Member submitted a Fraud Report for a non-financial transaction other than an authorization or pre-authorization."
"Case Folder","E-127000093","The user role is not entitled to update Case Resolution Status.","Member submitted SIUpdateCaseResolutionStatusRequest without specifying the correct MemberRole."
"Fraud","E-127000094","A Consumer Account Number is required.","User Tries to submit a fraud report for a PAN-less transaction without Consumer Account Number provided."
"Fraud","E-127000095","A Transit and Routing Number is required.","User Tries to submit a fraud report for a PAN-less transaction without TRN provided."
"Fraud","E-127000096","Invalid FraudReportID","User fetches Fraud Detail using wrong fraud report ID"
"Fraud","E-127000099","Invalid combination of Fraud Type Category and Fraud Type.","User attempts to submit a Fraud Report with invalid Fraud Type."
"Exception File","E-127100003","PurgeDate must be specified.","Member has not provided a field that is required to process an Exception File request. Please provide the XML element ""PurgeDate“ and resend the case."
"Exception File","E-127100004","ActivityLimit must be specified","User has not selected ""ActivityLimit"" which is required field for Set VIP Limit"
"Exception File","E-127100005","ActionCode must be specified.","Member has not provided a field that is required to process an Exception File request. Please provide the XML element ""ActionCode“ and resend the case."
"Exception File","E-127100006","VisaCaseNumber must be specified","Member submitted an exception transaction with no case number. Please provide the XML element ""VisaCaseNumber“ and resend the case."
"Exception File","E-127100007","Invalid ActivityLimit","Member has provided invalid ""ActivityLimit"" which is required field to process an exception file request for Set VIP Limit . Please provide the valid value for  XML element ""ActivityLimit"" and resend the case."
"Exception File","E-127100008","Invalid ActionCode","Member has provided invalid ""ActionCode“ which is required field to process an exception file request for Negetive Exception File Listing . Please provide the valid value for  XML element ""ActionCode“ and resend the case."
"Exception File","E-127100011","No current listing found for supplied Card/Account Number.","VIP could not match the supplied ""AccountNumber"" with a current listing."
"Exception File","E-127100012","ExceptionFileDescriptor ""type"" attribute value is different from type of listing specified under ExceptionFileGroup","Member uploaded a <ExceptionFileDescriptor> element containing different values for ""type"" attribute  and the type of listing specified under  <ExceptionFileGroup>.  Please correct and resend the case."
"Exception File","E-127100013","AccountNumber in CaseMatchingInfo is different from AccountNumber in ExceptionFileDescriptor","Member uploaded a <CaseDescriptor> element containing different values for <AccountNumber> in the <CaseMatchingInfo> and <ExceptionFileDescriptor> sections.  Please correct and resend the case."
"Exception File","E-127100014","Images cannot be attached to a Exception File","Member tried tosubmit an exception file listing along with AddImage. Please correct and resubmit"
"Exception File","E-127100015","Acquirer can not submit Exception File Listing.","Acquirer has submitted one or more Exception File Listing transactions. This transaction category is permitted only for Issuers."
,"E-127100016","Invalid ExceptionFileID.","User has entered an incorrect value for the ExceptionFileId"
"Exception File","E-127104001","Error while submitting exception file request to V.I.P","An error occurred. Please try again. If the problem persists, please contact your Visa support representative."
"Exception File","E-127104102","Error returned by VIP:  Card/Account length invalid for Issuer.","Issuer submitted an Exception File Listing or Inquiry with an invalid length for XML element ""AccountNumber"".  Please correct and resubmit."
"Exception File","E-127104103","No Exception File Listing records found. Exception File Listing records are deleted 2 years after the last effective date of the Exception File Listing.","Error returned by VIP: Record not on file when Card Account Number was not listed on the Exception File."
"Exception File","E-127104104","Error returned by VIP: Invalid AccountNumber - check digit failure.","Member submitted an Exception File Listing or Inquiry with an invalid check digit in  XML element ""AccountNumber"".  Please correct and resubmit."
"Exception File","E-127104105","Error returned by VIP: Card/Account number not within existing Issuer ranges.","Issuer submitted an Exception File Listing or Inquiry where the value for XML element ""AccountNumber"" it not within the existing range.  Please correct and resubmit."
"Exception File","E-127104106","Error returned by VIP: Not authorized to update this card/account number.","Member is not authorized to update the Exception File Listing for the specified AccountNumber."
"Exception File","E-127104107","Error returned by VIP: Invalid purge date.","Member supplied an invalid value for ""PurgeDate"" with their Exception File Listing.  Please correct and resubmit."
"Exception File","E-127104108","Error returned by VIP: The action code you have selected (01) is not valid for listings on the SMS exception file.  You may choose another action code or choose to list on only the BASE I exception file.","Member supplied an invalid value for ""ActionCode"" with their Exception File Listing.  Please correct and resubmit."
"Exception File","E-127104109","Internal system error returned by VIP:  Invalid region code.  Please try again.  If the problem persists, please contact your Visa support representative.","Internal system error returned by VIP:  Invalid region code.  Please try again.  If the problem persists, please contact your Visa support representative."
"Exception File","E-127104110","Internal system error returned by VIP:  Region code required.  Please try again.  If the problem persists, please contact your Visa support representative.","Internal system error returned by VIP:  Region code required.  Please try again.  If the problem persists, please contact your Visa support representative."
"Exception File","E-127104111","Error returned by VIP:  Not authorized to update or delete RCL item.","Unauthorized by VIP"
"Exception File","E-127104112","Error returned by VIP:  Invalid action code.  ","Action code is invalid"
"Exception File","E-127104113","Error returned by VIP:  Invalid action code - referral not permitted.","Member supplied an invalid value for ""ActionCode"" with their Exception File Listing.  Please correct and resubmit."
"Exception File","E-127104114","Internal System Error calculating CRB purge date.","System Error occurred in VIP when attempting to calculate CRB Purge Date.  Please contact <regional contact information> for support."
"Exception File","E-127104115","Internal System Error returned by VIP:  Synchronization error - send.","System Error occurred in VIP when attempting to submit Exception File Listing.  Please contact <regional contact information> for support."
"Exception File","E-127104116","Internal System Error returned by VIP:  Synchronization error - apply.","System Error occurred in VIP when attempting to submit Exception File Listing.  Please contact <regional contact information> for support."
"Exception File","E-127104120","Internal System Error returned by VIP:  Processing error - utility level.","System Error occurred in VIP when attempting to submit Exception File Listing.  Please contact <regional contact information> for support."
"Exception File","E-127104121","Internal System Error returned by VIP:  Processing error - application level.","System Error occurred in VIP when attempting to submit Exception File Listing.  Please contact <regional contact information> for support."
"Exception File","E-127104122","Internal System Error returned by VIP:  Global loader active - resend request.","System Error occurred in VIP when attempting to submit Exception File Listing.  Please contact <regional contact information> for support."
"Exception File","E-127104123","Error returned by VIP: Cannot delete. Record not on file.","Member attempted to delete an Exception File Listing, but VIP could not find the specified listing.  Please correct and resubmit."
"Exception File","E-127104124","Internal system error returned by VIP.  Please try again.  If the problem persists, please contact your Visa support representative.","Internal system error returned by VIP.  Please try again.  If the problem persists, please contact your Visa support representative."
"Exception File","E-127104125","Invalid region code.  Please try again.  If the problem persists, please contact your Visa support representative.","User tries to submit a Negative File Listing with an invalid value for Region."
"PPCS","E-127104126","No Stop Payment Order found for supplied Stop Payment ID","User has submitted a Stop Payment update or delete request, or a Stop Payment detail request, with a Stop Payment ID.  VROL could not find an existing Stop Payment Order for the given Stop Payment ID."
,"E-127104127","StopPaymentID is a required field for the update operation","RTSI user sent StopPaymentOrderRequest with update operation without using StopPaymentID to identify the Stop Payment to update. Please resubmit with StopPaymentID"
"Exception File","E-127104200","Error returned by VIP: V.I.P System Error.","An internal system error occurred within VIP.  Please contact <regional contact information> for support."
"Exception File","E-127104201","Exception File Listing cannot be submitted for a POS Check or any Other PAN-less transaction.","User performs exception file listing on a POS Check or an Other PAN-less Transaction"
"Miscellaneous Fees","E-128000002","Invalid Miscellaneous Fee Reason Code.","User tries to submit a miscellaneous fee request with an invalid reason code (leading zero with the reason code)."
"MAPI","E-128000100","Unable to retrieve purchase information. If the problem persists, please contact $ContactInfo$","VROL cannot retrieve Purchase Inquiry Data (timeouts in external web service or WSI or anywhere else, other network-related issues, closed firewalls, whatever)"
"MAPI","E-128000101","Purchase Inquiry for [Merchant Name] is temporarily unavailable due to system maintenance.  If this problem persists, please contact $ContactInfo$","Maintenance mode on the merchant side"
"MAPI","E-128000102","Invalid combination of  <VisaCaseNumber> and <PurchaseInquiryID/MerchantNotificationId>","SI user (issuer) sent a wrong case id or a wrong PI event id.
SI user sent a wrong case id or a wrong Merchant Notification id."
"CF","E-129000000","Invalid format for XML element Token. Token must be 13 to 19 digits.",
"CF","E-129000001","Invalid format for XML element TokenAssuranceLevel.",
"TI","E-129000002","Invalid Token value. This field must be 6,9 or 13-19 digits.","User submits a partial token/Bin, that is not 6,9 or 13-19 digits, in the token xml element while performing a transaction inquiry."
"CBRepre","E-130000032","The member configuration indicates a financial can never be created","User submits financial when his/her member is not configured to submit financial."
,"E-130000038","special condition indicator is in an invalid format","Member has provided invalid special condition indicator. Please resubmit with correct data."
"Multiple","E-140000000","Invalid format for XML element MerchantVerificationValue. The value must contain 10 alpha-numeric symbols. Valid symbols 0-9 and A-F.","Member has provided an invalid value for the element MerchantVerificationValue. The value must be 10-digit numeric."
"Case Folder","E-140000010","VROL has not yet received a response from the Network. Please submit your request at a later time.","RTSI user submits status request, Network has not yet sent a response (approval, denial, or otherwise)"
"Case Folder","E-140000011","No financial exists within the specified case with the FinID supplied","Submit"
"Case Folder","E-140000012","You do not have privileges to view the information in this case.","Submit"
"Case Folder","E-140000013","You do not have the privileges to view the financials in this case","Submit"
"Case Folder","E-140000014","This financial was not submitted to SMS.","Submit"
,"E-140000015","No questionnaire exists in the specified case with the provided QnID","User attempts an operation that requires an existing questionnaire and supplies an invalid QnID"
,"E-140000016","ReturnDetails is invalid for this transaction","User does not have access to the status message for an incoming financial."
,"E-140000017","The Purge Date cannot exceed December 31, 2041.","EFL submitted with Purge Date expressed in days and the resulting end date is beyond 12/31/2041"
,"E-14000017","This RFC was not submitted to SMS","<ReturnDetails> is invalid for this transaction. No SMS advice is returned for a Base II RFC."
"Administration","E-150000001","The recipient organization for this exception transaction does not have an active organization on VROL.","The opposer bin is not configured in VROL for the specified network"
"Administration","E-150000002","The user ID <UserId> does not have a role assigned to it.  Please contact your Site Administrator.",
"Security ","E-1501  ","The UserCredentials element was not found in the SOAP body.  ","To log in a user through RTWS, the username and password must be sent in the SOAP body of the request as described in the Real-Time SI Development Guide.  Please provide the necessary credentials and re-submit the request.  "
"Security ","E-1502  ","Invalid login request. Missing either UserName or Password elements.  ","To log in a user through RTWS, the username and password must be sent in the SOAP body of the request as described in the Real-Time SI Development Guide.  Please provide the necessary credentials and re-submit the request.  "
"Security","E-1503","(500)Internal Server Error","An internal server error occurred."
"Dispute","E-1600000005","One or more edits got triggered on Dispute. Case Number: <CaseNumber>, System Code(s): <Edit Id1, Edit Id2>","User submits Dispute Request which triggers a number of edit(s)"
"XML Parsing","E-170100000","XML content error:  $Exception.Context$.","General XML content exception.   The member-generated schema does not meet the current XML specification.  Please review the XML specification documents in the Bulk System Interface Technical Suite for details on the current schema.  "
"XML Parsing","E-170100001","XML File is missing a required attribute:  $Exception.Context$.","This message occurs during the parsing of the XML file. The XML file is missing a required attribute. Revise the XML generation code to correct the file and resend the case."
"XML Parsing","E-170100002","XML File is missing a required element:  $Exception.Context$.","This message occurs during the parsing of the XML file. The XML file is missing a required element. Revise the XML generation code to correct the file and resend the case."
"XML Parsing","E-170100003","Malformed image XML.  ","This message occurs during the parsing of the XML file.  Please validate this file before uploading to ROL and correct any schema validation issues."
"XML Parsing","E-170100004","A required value in the XML file is empty:  $Exception.Context$.","This message occurs during the parsing of the XML file.  Please validate this file before uploading to ROL and correct any schema validation issues."
"XML Parsing","E-170100005","Unexpected XML element:  $Exception.Context$.","This message occurs during the parsing of the XML file.  Please validate this file before uploading to ROL and correct any schema validation issues."
"XML Parsing","E-170100006","Unexpected XML attribute:  $Exception.Context$.","This message occurs during the parsing of the XML file.  Please validate this file before uploading to ROL and correct any schema validation issues."
"Multiple","E-170100007","Maximum amount exceeded for XML element <TranAmountRange1 / TranAmountRange2>.","Member submitted an amount element that was greater than the maximum allowable length.  Please correct and resubmit."
"Case Filing","E-190000004","Member pended or submitted a single case filing that matched to the primary case in a previously pended multi-filing, but one or more of the secondary cases in the pended multi-filing is the primary case in another pended multi-filing or contains a pended case filing.","Member pended or submitted a single case filing that matched to the primary case in a previously pended multi-filing, and one or more of the secondary cases in the pended multi-filing is the primary case in another pended multi-filing or contains a pended case filing."
"Case Filing","E-190000005","Case filing add failed because this case already has a filing pending submission.","User attempts to perform an Add CaseFiling through BulkSI/RTSI and there is an existing CaseFiling in ""Pending"" or ""Pending Review"" or ""Reviewed"" status in the same case."
"Case Filing","E-190000006","Case filing update or delete failed because this case does not have a filing pending submission.","User attempts to perform a CaseFiling update/delete operation but VROL did not find an existing ""Pending"" or ""Pending Review"" or ""Reviewed"" status case that can be updated/deleted."
"Case Filing","E-190000010","Member cannot appeal a filing that was ruled fully in their favor.","Member pended or submitted a filing into a case that already contained a filing that was ruled fully in their favor.  This case cannot be appealed by the winning member."
"Case Filing","E-190000049","Invalid Case Filing Currency for the case jurisdiction.","Member submitted a case filing and supplied CaseFilingAmount and a currency code that is not valid for the particular jurisdiction.
Valid values for currency based on the jurisdiction are -- 
Visa Europe: USD, British Pounds and Euros
Visa Canada: Canadian Dollars and USD
All other jurisdictions: USD"
"Case Filing","E-190000050","""Currency"" attribute  is required for XML element  CaseFilingAmount.","Member submitted a case filing and supplied CaseFilingAmount but did not supply a currency code.  Currency code is required.  Please correct and resubmit."
,"E-190000051","You can only appeal a case ruling if CaseFilingAmount is for $5,000 or more","Arbitration Filing"
"Security ","E-1901  ","Missing required elements in the Change Password request  One or more required elements are missing in the ChangePassword request.  ","The change password request must specify the username, current password, and new password.  One or more of these elements are missing.  Please resubmit the request with these parameters.  "
"Security ","E-1902  ","Empty or Invalid data in the Change Password request  One or more required elements are empty in the ChangePassword request.  ","The change password request must specify the username, current password, and new password.  One or more of these elements are present, but empty.  Please resubmit the request with values supplied for these parameters."
,"E-1903","The two new passwords do not match","RTSI user submits ChangePasswordRequest with password values that do not match"
"Security ","E-2001  ","Could not find required cookies in the request  ","The request to the “cookie binder” page does not contain the required SMSESSION cookie name and value, as described in the Real-Time SI Development Guide.  Please correct and resubmit.  "
"Multiple","E-200100002","One or more required fields are missing. Please correct the following errors: <list of fields>.","Member has not provided a value for one or more of the required elements: AccountNumber, Transaction CPD, Transaction Amount, Transaction Currency, Merchant Name, Merchant City, Merchant State/Province, Merchant Postal code, Merchant Country Code, MCC, Network Id, Reason Code, Processing Code, Adjustment Transaction Amount, Transaction Currency, Transaction Type, PreComplianceDate, TimeLimitExpiredInd, InitCHNotificationTimeLimitExpiredInd, MemberCaseNumber and CardholderReceiptAmt."
"Multiple","E-200100004","This action is not permitted while the case is in the stage <stage>.","Member uploaded a transaction into a Case that has reached an advanced Stage. Adding the transaction with this transaction type to the Case in this Stage is not permitted."
"Multiple","E-200100006","Error while computing AcquirerBIN, RetrievalReferenceNumber and SystemTraceAuditNumber from ARN.","Member has provided an Acquirer Reference Number which cannot be converted to Acquirer BIN, Retrieval Reference Number and System Trace Number. Please provide a valid ARN as documented in the Interface Specifications and resend the case."
"Multiple","E-200100012","Invalid format for XML element AcquirerInstCountryCode. Please enter 3-digit country code.","Member has provided an invalid value for XML element AcquirerInstCountryCode. The value must contain a 3-digit country code."
"XML Format Validation - PPCS","E-200100013","You must enter data in at least one of these fields: CardAcceptorId, MerchantName, MerchantVerificationValue.","Member has not provided valid value(s) in these elements: CardAcceptorId, MerchantName, MerchantVerificationValue. Member must provide a valid value in at least one of these elements."
"Adjustments","E-200100020","Invalid Adjustment Reason Code.","Submit"
"PPCS","E-200100021","Stop payment details for the given card account number are not found.","Submit"
"PPCS","E-200100022","Stop payment order for the given Stop payment ID is not found.","Submit"
"ADJ","E-200100026","Contact Phone required","User submits an Adjustment without a Contact Phone on an ATM network or Interlink, where Contact Phone of Acquirer is required."
"Multiple","E-200100029","Card Acceptor Id is Required",
"THI","E-200100101","You are required to specify the Start Date and End Date if searching only on Merchant Name and/or partial Card/Account Number. The date range cannot exceed 31 days.","User wants to search for PPCS THI by providing Merchant Name and/or partial Card/Account Number. As per CDI implementation, user should supply the Start Date and End Date and make sure that date range does not exceed 31 days."
"PPCS","E-200100102","You should provide the value of Transaction Amount if you have submitted an option to block future authorizations and originals with a specific Transaction Amount","User has submitted a PPCS listing with the option to block future transactions with the given transaction amount, but has not given this amount."
"PPCS","E-200100103","Stop Payment Order cannot be submitted for a POS Check or any Other PAN-less transaction.","Member is trying to submit stop payment exception transaction for POS check or othe PAN less transaction."
"Adjustment","E-200200005","Invalid combination of Adjustment Reason code and Processing code.","Member submitted SubmitAdjustmentRequest with an invalid combination of Adjustment Reason code and Processing code"
"Adjustment","E-200200006","Invalid Processing Code","Member has provided invalid ProcessingCode. Please correct and resubmit."
"Adjustment","E-200200007","Size of the Comments field exceeds the limit of 25 characters set up for the ATM transactions.","Member has submitted a Comments element having more characters than the maximum allowable size.  Please correct and resubmit."
"Adjustment","E-200200008","Size of the Comments field exceeds the limit of 237 characters set up for the Interlink transactions.","Member has submitted a Comments element having more characters than the maximum allowable size.  Please correct and resubmit."
"Adjustment","E-200200009","Size of the Comments field exceeds the limit 50 characters set up for the VIP transactions which are not ATM or Interlink.","Member has submitted a Comments element having more characters than the maximum allowable size.  Please correct and resubmit."
"Adjustment","E-200200010","Invalid Terminal Type.  It must be 1 numeric digit, [0-9].","User attempts to submit Adjustment and provide a non numeric value in the ""Terminal Type"" field."
"Adjustment","E-200200011","TranCurrency is required.","Member uploads Adjustment request without TranCurrency element value."
"Pre-Filing","E-200201000","You have selected a POS MCC and Network id MasterCard/Cirrus/Plus. Pre-Filing Questionnaire is not supported for this combination of MCC and Network.","User submitted a PFL QN request on MC/Cirrus with non-ATM MCC. Such combination is not supported."
"Pre-Filing","E-200201001","Response to Pre-Filing Questionnaires which contain POS MCC and Network id of MasterCard/Cirrus is not supported.","User submitted a PFL QN response on MC/Cirrus with non-ATM MCC. Such combination is not supported."
"Security","E-210","Unable to change password. You cannot reuse any password that you used in the last 12 months.","Submit"
"System","E-300100000  ","Internal system error has occurred.  Please contact <regional contact information>.","Internal system error has occurred.  Please contact ROL support for your region."
"Framework ","E-300100001  ","The action parameter supplied in the address location URL is either missing or invalid.  ","The specified HTTP action is incorrect.  The action name may have changed or the WSDL file used to generate the proxy stubs may be invalid.  Obtain a new version of the WSDL file to determine the correct action name.  "
"Framework ","E-300100002  ","Invalid action: $RTSISOAPAction$  ","The specified HTTP action is incorrect.  The action name may have changed or the WSDL file used to generate the proxy stubs may be invalid.  Please contact your Visa representative to obtain a new version of the WSDL file.   "
"Framework ","E-300100003  ","The XML RequestBody is not compatible with the specified SOAP action. Actio`n: $RTSISOAPAction$. ","The xml RequestBody is not compatible with the specified SOAP action.  Correct the RequestBody or SOAP Action and resubmit. See the Real Time System Interface Development Guide for instructions. "
"Framework ","E-300100008  ","Version $VersionNumberParam$ of RT Web Services is no longer supported. The current supported version is $SupportedVersion$.  ","The version supplied in the address location URL is no longer supported, which indicates that your WSDL files are not the most current. Contact your Visa representative to obtain the current version of the WSDL files and the technical documentation.  "
"Framework ","E-300100009  ","Requested page $RequestedPageNum$ exceeded total number of pages available $TotalPageNum$  ","Correct the requested page number and resubmit.  "
"Login ","E-300100010  ","User does not have access to ROL.  Please contact <regional contact information>.","User does not have access to ROL.  Please contact ROL support for your region."
"Maintenance Mode ","E-300100011  ","The VROL system is currently down for maintenance. If you are receiving this message during the published hours of availability, contact <regional contact information>.  ","The VROL system is currently down for maintenance. If you are receiving this message during the published hours of availability, contact ROL support for your region. "
"Framework ","E-300100013","Unknown error occured while reading the SOAP message.  Please contact <regional contact information>.","ROL encountered an unknown exception while reading the SOAP message.  Please contact ROL support for your region."
"Framework ","E-300100014  ","The AttachmentDescriptor section of the request body XML is improperly constructed.  ","The message structure used to send the image as a SOAP attachment is incorrect.  Correct the problem and resubmit.  For details on the required message structure, see the Real-Time System Interface Development Guide.  "
"Framework ","E-300100015  ","The content-Id value provided in the SOAP attachment is missing. The value must be present and match the id attribute of the Attachment element within the request body.  ","The SOAP attachment contains a null or empty content-id.  Each supplied content-id must match to a value specified in a corresponding Attachment id attribute inside the SOAP message.  Correct the empty content-id and resubmit.  "
"Framework ","E-300100016  ","The value provided in the id attribute of the Attachment element is either missing or invalid. The value must be present and match the content-id value provided in the SOAP attachment.    ","The Attachment element in the request must specify the Id attribute and the value specified must match the content-Id of the attached image file.  Supply the “id” attribute and resubmit.  "
"Framework ","E-300100017  ","Error while creating the SOAP message. Request is not a valid SOAP message format.  ","The message structure used to send the image as a SOAP attachment is incorrect.  Correct the problem and resubmit.  For details on the required message structure, see the Real-Time System Interface Development Guide.  "
"Framework ","E-300100018","Error while retrieving xml from the SOAP message.  Please contact <regional contact information>.","ROL encountered an unknown exception while retrieving the xml from the SOAP message.  Please contact ROL support for your region."
"Global","E-300100020","MemberRole element is required for member type 'Issuer and Acquirer'","Member who has setup with member type  'Issuer and Acquirer'  has not provided MemberRole.Please resubmit with data."
,"E-300100021","MemberRole value  is not valid for this user's Org","The MemberRole element has an incorrect value,  e.g. ""I"" when the Org is Acquirer only."
,"E-300100030","Member is not configured for RTSI services.","Submit"
,"E-300100031","Web services are not available because VROL is in maintenance mode. If the problem persists outside the VROL maintenance period, contact $ContactInfo","VROL is in Maintenance mode"
,"E-300100032","Service not available on this URL. Please consult the WSDL for this service for the correct URL","User tries to invoke the wrong service URL to perform RTSI operations. e.g. From the Transaction Inquiry results, user tries to create a case while using an incorrect service URL."
"SAX Parser ","E-300199900  ","XML validation error: <invalid element>  ","ROL recommends that members validate their xml against the schemas before submitting a request.  Correct the invalid element(s)  and resubmit the request.  "
"SAX Parser ","E-300199902","Unknown exception while processing the xml.  Please contact <regional contact information>.","ROL encountered an unknown exception while processing the xml.  Please contact ROL support for your region."
"HyperSearch ","E-300200001  ","Invalid page number. Page number must be a positive integer.  ","Requested page number must be greater than 0.  Correct the requested page number and resubmit.  "
"HyperSearch","E-300200002","Missing at least one of the required fields: AccountNumber, ConsumerAccountNumber, TransitRoutingNumber,  ARN, TranDate, Amount, Transaction id, RetrievalRequestID, VisaCaseNumber, MemberCaseNumber","User attempts to perform an Advanced Case Search/Hyper Search without providing any search parameter through RTSI."
"TI","E-300300003","A Full Card Number or Consumer Account Number or Token Number is required for Credit/Reversal/Adjustment inquiries.","User tries to submit SubmitTranInquiryRequest by selecting IncludeCreditsOrReversalsOrAdjustmentsInd to true and not entering the Full Card Number or Token"
"Tran Inquiry","E-300300004","Start Date and End Date are both required unless searching by Transaction ID or ARN.","User attempts to perform TI without providing the start and end date on any TI field other than Tran ID and ARN."
"TI","E-300300012","Both TranAmountRange1 and TranAmountRange2 elements must be populated if either element has a value.","RTSI user tries to perform a TI search after entering all the required data and either of TranAmountRange1 or TranAmountRange2"
"TI","E-300300013","Start Date must be equal to or less than current date + one day.","User tries to submit SubmitTranInquiryRequest specifying a start date that is greater than current date + one day."
"TI","E-300300014","The Start Date must be within 120 days of the End Date.","User attempts to submit a TI transaction inquiry; date range specified is more than 120 days"
"TI","E-300300015","TranAmountRange1 value cannot be greater than the TranAmountRange2 value.","User tries to submit a SubmitTranInquiryRequest by specifying a transaction amount range in which TranAmountRange1 is not less than or equal to TranAmountRange2"
"TI","E-300300017","The Start Date cannot be older than 2 years.","User attempts to submit a TI transaction inquiry against the Visa Repository; the ""From"" date is prior to 2 years ago from the current date."
"TI","E-300300018","You must specify a value for at least one of the following: Card/Account Number, Transaction ID, Terminal ID, ARN, or Consumer Account Number.","At least one of the following key fields is not supplied:  (1) Card/Account Number or fraction thereof, (2) Terminal ID, (3) Transaction ID, (4) ARN, or (5) Consumer Account Number."
"Case Folder","E-300300019","You cannot add this unmatched item to the specified case because the case number provided is not from a list of potential matching case numbers."," RTSI user tried to add unmatched items to a case which is not potential match case."
"Case Folder","E-300300020","An unmatched item with the given identifier was not found.","RTSI user is trying to send any queue related request for format M where one of the input parameter is unmatched item id and transaction with that id is not available in the queue."
"TI","E-300300023","For a BIN, extended BIN or Terminal ID search, the time period cannot be greater than 24 hours.","User attempts to submit a TI transaction inquiry; BIN or Extended BIN are the only primary criteria entered AND the Start Date/Time is more than 24 hours beyond the End Date/Time."
"Dispute","E-300300024","No matching transactions found.","User submits SIGetAssociatedTransactionListRequest and SIGetAssociatedTransactionListResponse is retuened with no results."
"TI","E-300300025","When using BIN, Extended BIN or Terminal ID as your only primary search criteria, you must set Start Date and End Date to the same day.","User provided different Start Date and End Date"
"TI","E-300300027"," Invalid Transaction Type","User tries to submit a SubmitTranInquiryRequest (or AddUnmatchedItemToCaseRequest) by specifiying an invalid transaction type"
"TI","E-300300028","Sub Draft cannot be displayed because more than one matching transaction found","Multiple authorizations are found for a single selected settled transaction"
"TI","E-300300030","Invalid Card/Account Number value.  This field must be 6, 9 or 11-19 digits.","A value has been submitted for Card/Account Number that is not 6, 9, or 11-19 digits. Please correct and resubmit."
"TI","E-300300031","Invalid Transaction ID.  This entry must be alphanumeric and may not exceed 15 characters.","A value has been submitted for Transaction ID that contains non-alphanumeric characters and/or exceeds 15 characters. Please correct and resubmit."
"TI","E-300300032","Invalid Terminal ID.  This entry must be alphanumeric and may not exceed 8 characters.","A value has been submitted for Terminal ID that contains non-alphanumeric characters and/or exceeds 8 characters. Please correct and resubmit."
"TI","E-300300033","Invalid Consumer Account Number value.  This entry must be alphanumeric and may not exceed 28 characters.","A value has been submitted for Consumer Account Number that contains invalid characters. Please correct and resubmit."
"TI","E-300300034","Invalid TRN/Institution ID.  This entry must be the full 9 digit Issuer Transit Routing Number, including the check digit.","A value has been submitted for TRN/Institution ID that is not the full 9 digit Issuer TRN, including the check digit. Please correct and resubmit."
"TI","E-300300035","Invalid start date format.","A value has been submitted that is an invalid date format. Please correct and resubmit."
"TI","E-300300037","Invalid end date format.","A value has been submitted that is an invalid date format. Please correct and resubmit."
"TI","E-300300039","Invalid Retrieval Ref. Number.  This entry must be alphanumeric and may not exceed 12 characters.","A value has been submitted for Retrieval Ref. Number that contains non-alphanumeric characters and/or exceeds 12 characters. Please correct and resubmit."
"TI","E-300300040","Invalid Authorization Code.  This entry must be alphanumeric and cannot exceed 6 characters.","A value has been submitted for Authorization Code that contains non-alphanumeric characters and/or exceeds 6 characters. Please correct and resubmit."
"TI","E-300300042","For Visa Repository searches for data older than 6 months, either a full Card/Account Number, Token or Transaction ID must be supplied.","Some part of the date range is greater than six (6) months from the current date AND neither a full Card/Account Number nor Transaction ID nor Token is supplied."
"TI","E-300300043","Credit searches against the Visa repository are not allowed if any part of the date range is older than six months.","User attempts to submit a TI transaction inquiry that includes a credit search; any part of the date range is older than six months."
"TI","E-300300044","The requested TIEventID could not be found.","User tries to submit GetTransInquiryResultsRequest   specifying an invalid TIEventID"
"TI","E-300300047","Invalid RolTransactionId","Submit"
"TI","E-300300048","Invalid TransmissionDateTime. The field must be in hhmmss format.","Please correct the XML element and resend the case."
"TI","E-300300050","No transaction data found","A case was created by user as a by-product of an action from Global Navigation Menu: manual Misc. Fee, manual Fraud, etc. Such case does not contain the link ""Identified transaction"""
"TI","E-300300051","No matching transactions found.","User attempts a TI transaction inquiry via RTSI; no transaction data was found matching the search criteria and the user's security rights"
